Tipo de distancia,Euclidean
Tipo de heurística,FisherJaikumar
Costo total,2159.16
Tiempo de ejecución,0.15057635307312012
Ruta,Clientes
R1,"[75, 73, 63, 69, 68, 64, 61, 62, 66, 67, 65, 60, 70, 72, 71]"
R2,"[17, 16, 18, 12]"
R3,"[29, 28, 25, 26, 24, 22, 21, 20, 23, 19, 27]"
R4,"[35, 33]"
R5,"[57, 55, 52, 59]"
R6,"[8, 9, 2, 4, 3, 5, 1, 7, 10, 6]"
R7,"[32, 31, 30, 34]"
R8,"[36, 38, 37]"
R9,"[51, 46, 49, 48, 47, 45, 44, 42, 41, 40, 43, 39, 50]"
R10,"[58, 56]"
R11,"[90, 88, 89, 87, 85, 86, 99, 74, 100]"
R12,"[14, 15]"
R13,"[53, 80, 78, 76, 77, 54, 79]"
R14,"[93, 97, 96, 95, 94, 92, 91, 84, 83, 81, 98, 82]"
R15,"[13, 11]"
