Tipo de distancia,Euclidean
Tipo de heurística,FisherJaikumar
Costo total,4448.21
Tiempo de ejecución,0.30219292640686035
Ruta,Clientes
R1,"[13, 37, 99, 141, 84, 42, 43, 118, 90, 140, 139]"
R2,"[27, 26, 145, 121, 51, 69, 131, 68, 110, 126, 100]"
R3,"[59, 117, 98, 95, 92, 5, 83, 82, 88, 103, 4, 17, 146]"
R4,"[89, 125, 62, 31, 130, 107]"
R5,"[147, 105, 87, 61, 47, 30, 6, 9]"
R6,"[2, 119, 77, 80, 33, 78, 32, 128]"
R7,"[79, 120, 108, 76, 28, 11, 137, 115, 67, 149]"
R8,"[133, 53, 23]"
R9,"[40, 21, 132, 22, 73, 55, 66, 38, 74]"
R10,"[7, 123, 113, 44, 45, 16, 81, 124]"
R11,"[3, 129, 24, 138, 54]"
R12,"[18, 10, 106, 122]"
R13,"[85, 60, 15, 112]"
R14,"[142, 63, 46, 35, 48]"
R15,"[94, 86, 1, 143, 12, 14, 97, 96, 114, 116, 58, 41, 56, 93, 36, 136, 91]"
R16,"[148, 111, 109, 39, 25, 144, 104, 52, 150, 20, 71, 57, 72]"
R17,"[75, 49, 101]"
R18,"[134, 135, 127, 102, 65, 64, 19, 70, 8, 29, 50, 34]"
