Tipo de distancia,Euclidean
Tipo de heurística,MatchingBasedSavingAlgorithm
Costo total,8043.0
Tiempo de ejecución,72.34728360176086
Ruta,Clientes
R1,[1]
R2,[9]
R3,"[41, 32, 85, 145, 194, 163, 194, 182, 29, 79, 156, 124, 189]"
R4,"[45, 69, 66, 139, 57, 60, 10, 5, 10, 90, 107]"
R5,"[170, 50, 87, 50, 130, 171, 86, 172, 97, 196, 173, 154]"
R6,"[21, 89, 52, 105, 59, 149, 74, 51, 94, 63, 56]"
R7,"[62, 30, 120, 65, 192, 19, 192, 133, 192, 192, 151]"
R8,"[148, 103, 20, 169, 153, 75, 134, 112, 75, 134]"
R9,"[116, 44, 114, 123, 23, 27, 27, 27, 147]"
R10,"[22, 11, 24, 110, 110, 70, 77, 77, 31, 40, 64]"
R11,"[6, 14, 15]"
R12,"[131, 164, 48, 152, 129, 26, 152, 198, 26, 152]"
R13,"[91, 100, 179, 109, 68, 3, 82, 38, 142, 111]"
R14,"[119, 101, 119, 113, 78, 73, 178, 76, 102, 146, 102, 157]"
R15,"[58, 88, 18, 13, 122, 25, 34, 95, 106, 167, 106, 108, 39, 49]"
R16,"[135, 159, 150, 138, 175, 155, 43, 193, 191, 43, 175, 43, 99]"
R17,"[2, 17, 67, 33, 2, 16, 7, 127, 8, 37, 98]"
R18,"[177, 46, 121, 188, 125, 72, 125, 165]"
R19,"[144, 118, 180, 12, 42, 28, 137, 183, 53]"
R20,"[161, 185, 104, 93, 55, 185, 176, 55, 93, 166, 71]"
R21,"[54, 35, 36, 81]"
R22,"[190, 83, 84, 126, 200]"
