Tipo de distancia,Euclidean
Tipo de heurística,CMT
Costo total,3339.49
Tiempo de ejecución,33.839043617248535
Ruta,Clientes
R1,"[186, 127, 132, 54, 7, 185, 181, 117, 8, 104, 49, 18, 161]"
R2,"[25, 172, 80, 85, 77, 41, 20, 110, 162, 154, 100, 64, 173, 27, 179, 45, 178, 109]"
R3,"[60, 83]"
R4,"[51, 94, 115, 86, 65, 171, 174]"
R5,"[182, 75, 163, 23, 194, 92, 52, 145, 195, 21]"
R6,"[38, 150, 22, 159, 16, 140]"
R7,"[141, 69, 200, 148, 197, 103, 124]"
R8,"[63, 151, 111, 142, 114, 187, 56]"
R9,"[107, 78, 39, 155, 67, 17, 175, 90, 2, 13, 43, 61]"
R10,"[136, 189, 32]"
R11,"[3, 88, 98, 177, 157]"
R12,"[79, 168, 29, 87, 112, 156, 50, 42, 134, 170, 123]"
R13,"[37, 135, 55, 58, 184, 199, 81, 138, 137, 183, 35, 126, 71, 166, 9, 53, 144, 1, 99, 101, 119]"
R14,"[46, 106, 167, 5, 10, 34, 95, 128, 193, 158, 190, 108, 121, 188, 165, 118, 33, 36, 57, 176, 143]"
R15,"[164, 66, 160, 147, 47, 91, 70, 12, 116, 129, 11, 6, 122, 73, 139, 31]"
R16,"[89, 169, 105, 153, 40, 152, 15, 198, 59, 26, 14, 48, 96, 133, 130, 97, 196]"
R17,"[72, 82, 180, 84, 4, 191, 125]"
R18,"[146, 93, 24, 192, 28, 74, 19, 149, 120, 30, 68, 44, 76, 131, 102]"
R19,[62]
R20,[113]
