Tipo de distancia,Euclidean
Tipo de heurística,FisherJaikumar
Costo total,8081.16
Tiempo de ejecución,1.2247247695922852
Ruta,Clientes
R1,"[100, 52]"
R2,[55]
R3,[72]
R4,[160]
R5,"[179, 59]"
R6,[20]
R7,[23]
R8,"[27, 129, 96, 95]"
R9,[189]
R10,"[80, 136, 183, 198]"
R11,[42]
R12,[47]
R13,"[57, 54, 92]"
R14,"[70, 34]"
R15,"[61, 67]"
R16,[76]
R17,"[168, 14]"
R18,"[126, 7]"
R19,[53]
R20,"[161, 109]"
R21,[110]
R22,"[78, 49, 111]"
R23,[115]
R24,[131]
R25,[132]
R26,[152]
R27,"[194, 74]"
R28,"[164, 32, 107, 56]"
R29,"[171, 24]"
R30,"[154, 174]"
R31,"[48, 6]"
R32,"[58, 13]"
R33,"[89, 1]"
R34,"[176, 2, 87]"
R35,"[5, 138]"
R36,"[45, 105]"
R37,"[10, 128, 121]"
R38,"[11, 90]"
R39,"[15, 158]"
R40,[19]
R41,"[37, 149]"
R42,"[44, 153, 172, 99, 63]"
R43,"[86, 28]"
R44,[79]
R45,"[31, 123]"
R46,"[35, 142]"
R47,"[25, 39]"
R48,[40]
R49,"[41, 169]"
R50,"[101, 43, 130]"
