Tipo de distancia,Euclidean
Tipo de heurística,CMT
Costo total,7153.24
Tiempo de ejecución,46.05621838569641
Ruta,Clientes
R1,[49]
R2,"[192, 28, 74, 59, 149]"
R3,"[119, 71, 9, 1, 99, 53, 183]"
R4,"[41, 85, 31, 80, 25, 172, 77, 110, 162]"
R5,"[142, 111, 63, 56]"
R6,"[84, 191, 4, 125, 72]"
R7,"[128, 106, 167, 34, 95, 158]"
R8,"[13, 43, 2, 90, 67, 17, 39, 107]"
R9,"[168, 79, 29, 87]"
R10,"[115, 94, 51, 174, 189]"
R11,"[147, 164, 160, 47, 91, 122, 70, 139]"
R12,"[170, 123, 198]"
R13,"[127, 132, 7, 181, 117]"
R14,"[27, 178, 173, 64, 109]"
R15,"[8, 186, 98, 157, 187, 138, 137]"
R16,"[182, 75, 163, 194, 92, 42]"
R17,"[143, 176, 36, 33, 165, 121, 188, 108]"
R18,"[124, 185, 140, 16, 151, 145, 52, 15, 136, 179]"
R19,"[103, 148, 200]"
R20,"[126, 81]"
R21,"[195, 105]"
R22,"[45, 100, 130]"
R23,"[32, 171, 65, 86, 141, 69, 61]"
R24,"[54, 58, 37]"
R25,"[22, 156, 112, 89, 96]"
R26,"[3, 88, 18, 150, 38, 159, 161, 114, 184, 199, 169]"
R27,"[190, 23, 50, 197, 153, 40, 14, 76]"
R28,"[166, 35]"
R29,"[152, 26, 196, 97]"
R30,"[133, 134, 120, 19, 68, 24, 6]"
R31,"[60, 180, 82, 104, 135]"
R32,"[10, 93, 20, 66, 146, 102, 44, 12, 154, 11, 46]"
R33,"[5, 193, 175, 129]"
R34,"[30, 177, 83, 73, 144, 101, 113, 155, 78, 48, 131, 62]"
R35,"[21, 118, 57, 55, 116]"
