Tipo de distancia,Euclidean
Tipo de heurística,SaveParallel
Costo total,3076.18
Tiempo de ejecución,61.27999138832092
Ruta,Clientes
R1,"[32, 171, 65, 86, 115, 94, 51, 174, 136, 189]"
R2,"[38, 150, 22]"
R3,"[148, 103, 197, 124, 141, 69, 200]"
R4,"[114, 159, 151, 16, 140, 187, 142, 111, 63, 56]"
R5,"[79, 29, 87, 42, 168, 112, 156, 50, 134, 170, 123]"
R6,"[57, 118, 83, 143, 176, 36, 33, 121, 108]"
R7,"[177, 3, 88, 8, 186, 127, 98, 157, 138]"
R8,"[21, 23, 182, 163, 194, 145, 195, 105, 198]"
R9,"[135, 58, 184, 199, 37, 81, 137]"
R10,"[164, 66, 147, 160, 47, 91, 70]"
R11,"[93, 161, 104, 185, 117, 49, 183]"
R12,"[152, 26, 48, 133, 40, 153, 169, 89, 15, 74]"
R13,"[132, 54, 18, 181, 7, 55, 53]"
R14,"[101, 144, 119, 166, 35, 126, 71, 9, 1, 99]"
R15,"[12, 116, 73, 129, 11, 6, 122, 139]"
R16,"[20, 41, 85, 80, 31, 25, 172, 77, 110, 162]"
R17,"[75, 52, 92, 59, 192, 19, 149]"
R18,"[30, 120, 196, 97, 14, 96, 130, 28]"
R19,"[62, 131, 44, 102, 146, 68, 76]"
R20,"[45, 178, 27, 173, 154, 24, 61, 100, 64, 179, 109]"
R21,"[155, 175, 13, 43, 2, 90, 67, 17]"
R22,"[60, 82, 180, 84, 191, 125, 4, 72, 165, 188, 39]"
R23,"[113, 190, 5, 10, 193, 46, 128, 106, 167, 34, 95, 158]"
R24,"[78, 107]"
