Tipo de distancia,Euclidean
Tipo de heurística,RandomMethod
Costo total,14837.82
Tiempo de ejecución,0.6109933853149414
Ruta,Clientes
R1,"[109, 178, 139, 142, 104, 20, 106, 16, 4, 123, 107, 58]"
R2,"[54, 68, 161, 50, 3, 156, 26, 53, 90, 136, 197]"
R3,"[96, 195, 130, 79, 164, 165, 120, 32, 115, 1, 41, 133]"
R4,"[7, 191, 119, 181, 185, 44, 135, 89, 121, 155, 162]"
R5,"[160, 74, 97, 137, 151, 48, 112, 177, 94, 172, 126, 64]"
R6,"[86, 98, 198, 127, 17, 187, 132, 176, 117, 138, 47, 25, 91]"
R7,"[84, 65, 55, 105, 154, 149, 102, 59, 2, 148, 153]"
R8,"[22, 134, 174, 33, 36, 200, 85, 10, 40]"
R9,"[158, 88, 75, 100, 111, 188, 173, 21, 70]"
R10,"[45, 5, 124, 163, 147, 118, 116, 166, 60, 9, 29, 15, 80, 77]"
R11,"[82, 24, 37, 56, 144, 186, 13, 190, 31, 92, 141, 14, 168, 38, 128]"
R12,"[83, 99, 69, 51, 43, 192, 6, 42, 122, 140, 179, 150, 157]"
R13,"[167, 66, 12, 27, 184, 76, 78, 71, 110]"
R14,"[46, 81, 63, 125, 146, 67, 189, 61, 199, 183, 8]"
R15,"[11, 131, 114, 182, 101, 194, 73, 23, 143, 34, 196]"
R16,"[175, 93, 57, 152, 30, 170, 52, 19, 49, 95, 87, 169]"
R17,"[159, 28, 108, 180, 72, 35, 193, 39, 18]"
R18,"[62, 171, 103, 145, 129]"
R19,[113]
