Tipo de distancia,Euclidean
Tipo de heurística,SaveParallel
Costo total,2889.12
Tiempo de ejecución,65.39022707939148
Ruta,Clientes
R1,"[32, 171, 65, 86, 115, 94, 51, 174, 136, 189]"
R2,"[114, 38, 150, 22, 159, 151, 16, 140, 187, 142, 111, 63, 56]"
R3,"[21, 23, 182, 163, 194, 145, 195, 87]"
R4,"[118, 60, 82, 180, 84, 191, 125, 4, 72, 121, 108]"
R5,"[75, 52, 92, 134, 170, 198]"
R6,"[55, 135, 58, 184, 199, 37, 81, 138]"
R7,"[127, 186, 8, 88, 3, 177, 98, 157, 7, 181, 137]"
R8,"[197, 103, 148, 124, 141, 69, 200, 70]"
R9,"[132, 185, 117, 54, 18, 104, 161, 93, 49, 183]"
R10,"[147, 160, 47, 66, 164, 12, 116, 91]"
R11,"[133, 48, 153, 29, 79, 168, 112, 156, 50, 42, 123]"
R12,"[101, 144, 119, 166, 35, 126, 71, 9, 1, 99, 53]"
R13,"[73, 6, 129, 11, 122, 139]"
R14,"[20, 41, 31, 80, 85, 25, 172, 77, 110, 162]"
R15,"[26, 152, 40, 169, 89, 105, 15, 59, 149]"
R16,"[30, 120, 19, 192, 97, 196, 14, 96, 130, 28, 74]"
R17,"[62, 131, 44, 102, 146, 68, 76]"
R18,"[45, 178, 27, 173, 154, 24, 61, 100, 64, 179, 109]"
R19,"[57, 83, 143, 176, 36, 33, 165, 188, 17]"
R20,"[113, 190, 5, 10, 193, 46, 128, 106, 167, 34, 95, 158]"
R21,"[78, 155, 175, 13, 43, 2, 90, 67, 39, 107]"
