Tipo de distancia,Euclidean
Tipo de heurística,MatchingBasedSavingAlgorithm
Costo total,11721.84
Tiempo de ejecución,63.51948046684265
Ruta,Clientes
R1,[1]
R2,[4]
R3,[7]
R4,[166]
R5,"[133, 152, 26, 48, 26, 198]"
R6,"[113, 78, 141, 181, 183]"
R7,"[45, 60, 69, 158, 107]"
R8,"[120, 112, 75, 134, 75, 162]"
R9,"[20, 94, 51, 59, 96, 52, 89, 21, 74, 111]"
R10,"[170, 171, 86, 153, 79, 168, 87, 189, 50, 79, 195, 169, 187]"
R11,"[30, 163, 194, 145, 124, 80, 32, 85, 80, 42, 149, 56]"
R12,"[101, 156, 142, 179, 196, 172, 103, 148, 110, 179]"
R13,"[73, 114, 23, 115, 123]"
R14,"[65, 92, 92, 109, 19, 83, 3, 55, 57, 188]"
R15,"[77, 91, 147, 147, 47, 66, 147, 164, 66, 147, 154]"
R16,"[160, 70, 31, 70, 131, 27, 95, 34, 95]"
R17,"[12, 29, 15, 63]"
R18,"[173, 116, 93, 146, 151, 157, 138, 137]"
R19,"[197, 41, 62, 67, 167, 53, 99, 199, 117]"
R20,"[13, 6, 14, 16, 81, 49]"
R21,"[82, 84, 97, 125]"
R22,"[18, 46, 54, 58, 54, 98]"
R23,"[178, 193, 186]"
R24,"[155, 159, 175, 176]"
R25,"[10, 24, 106, 121, 17]"
R26,"[35, 68, 71]"
R27,"[36, 2, 37, 9]"
R28,"[119, 40, 102, 88, 102, 90]"
R29,"[177, 180]"
R30,"[8, 33]"
R31,"[161, 25, 165, 72, 5, 122, 139, 11, 139, 39]"
R32,"[118, 135, 143, 127]"
R33,"[144, 44, 132, 104, 150, 184, 150, 126]"
R34,"[190, 43, 22, 38, 76, 200]"
