Tipo de distancia,Euclidean
Tipo de heurística,MoleJameson
Costo total,8753.17
Tiempo de ejecución,15.480432271957397
Ruta,Clientes
R1,"[56, 107, 189, 86, 115, 94, 51, 174, 136]"
R2,"[63, 188, 165, 121, 108]"
R3,"[69, 141, 124, 200, 110, 162, 109, 149]"
R4,"[198, 158, 95, 106, 128, 167]"
R5,"[44, 146, 102, 28, 74, 68, 76, 131, 183]"
R6,"[111, 39, 17, 67, 139]"
R7,"[123, 195, 145, 52, 92]"
R8,"[16, 140, 187, 142, 151, 53]"
R9,"[42, 112, 156, 59]"
R10,"[49, 117, 185, 104, 161]"
R11,"[79, 29, 87, 168, 15, 137]"
R12,"[99, 1, 90, 2, 175]"
R13,"[179, 34, 125, 191, 84, 180, 4, 72]"
R14,"[46, 193, 36, 33, 9, 81, 138]"
R15,"[105, 89, 169, 153]"
R16,"[130, 157]"
R17,"[91, 47, 160, 70, 77, 64]"
R18,"[181, 100, 172]"
R19,"[96, 37, 71, 126, 176]"
R20,"[127, 186, 98]"
R21,"[14, 194, 7]"
R22,"[61, 199]"
R23,"[122, 6, 11, 129, 103, 197, 148]"
R24,"[97, 163, 132]"
R25,"[25, 50, 134, 170, 40]"
R26,"[24, 75, 182, 196]"
R27,"[43, 154, 192, 22]"
R28,"[31, 152, 184]"
R29,"[38, 150, 159, 35]"
R30,"[13, 173]"
R31,"[80, 27, 178, 54]"
R32,"[143, 65, 41, 85, 20]"
R33,"[26, 23, 21, 58]"
R34,"[166, 8, 19, 120, 30]"
R35,"[78, 135, 18, 48]"
R36,"[118, 83, 57, 88]"
R37,"[10, 82, 60]"
R38,"[147, 66]"
R39,"[12, 116, 73]"
R40,"[119, 144, 101]"
R41,"[155, 5, 113]"
R42,"[55, 3, 114, 133]"
R43,"[171, 32, 190]"
R44,[93]
R45,"[177, 164]"
R46,[45]
R47,[62]
