Tipo de distancia,Euclidean
Tipo de heurística,SaveParallel
Costo total,2665.15
Tiempo de ejecución,63.38871240615845
Ruta,Clientes
R1,"[18, 54, 127, 186, 8, 3, 88, 98, 177, 157]"
R2,"[65, 94, 115, 86, 171, 51, 32, 174, 136, 189, 124]"
R3,"[75, 194, 145, 195, 52, 163, 182, 92, 23, 21]"
R4,"[106, 128, 46, 193, 125, 191, 84, 180, 82, 4, 72, 60]"
R5,"[114, 22, 150, 38, 159, 151, 16, 140, 187, 142, 111, 63, 56]"
R6,"[57, 118, 83, 143, 176, 36, 33, 121, 165, 188, 108]"
R7,"[7, 132, 185, 104, 181, 117, 49, 135, 161, 58, 184, 199]"
R8,"[123, 42, 87, 29, 79, 168, 112, 156, 50, 134, 170, 153]"
R9,"[138, 137, 183, 81, 37, 55, 93]"
R10,"[130, 96, 59, 15, 105, 89, 169, 40, 152, 198, 14, 26]"
R11,"[91, 12, 116, 164, 66, 47, 160, 147, 129]"
R12,"[53, 9, 71, 126, 35, 166, 119, 144, 1, 99, 101]"
R13,"[162, 200, 69, 141, 197, 103, 148, 70]"
R14,"[110, 77, 25, 172, 31, 80, 85, 41, 20, 24, 154, 173]"
R15,"[62, 102, 146, 44, 131, 76]"
R16,"[178, 149, 48, 133, 74, 28, 97, 196, 192, 19, 120, 30, 68]"
R17,"[61, 100, 64, 27, 179, 45, 109]"
R18,"[113, 13, 43, 34, 167, 5, 10, 95, 158, 190, 90, 2, 175]"
R19,"[73, 6, 11, 122, 139, 39, 17, 67, 78, 155, 107]"
