Tipo de distancia,Euclidean
Tipo de heurística,CMT
Costo total,5108.64
Tiempo de ejecución,21.188328981399536
Ruta,Clientes
R1,"[58, 184, 199, 37, 138, 81, 137, 56, 183]"
R2,"[177, 3, 88, 98, 157]"
R3,"[143, 83, 176, 165, 188, 108]"
R4,"[31, 25, 172, 77, 110, 162, 64, 179, 109]"
R5,"[72, 4, 125]"
R6,"[94, 115, 86, 65, 51, 174, 189, 136]"
R7,"[92, 52, 195, 145, 194]"
R8,"[182, 75, 163]"
R9,"[148, 141, 69, 200]"
R10,"[7, 132, 185, 181, 117, 49]"
R11,"[22, 150, 38, 140, 16, 187, 142, 111, 63]"
R12,"[67, 90, 39, 107]"
R13,"[170, 134, 23, 50, 123, 42]"
R14,"[105, 15, 59, 28, 130, 198, 74, 149]"
R15,"[35, 135, 93, 8, 18, 104, 186, 127, 126, 71, 53, 99, 1, 17]"
R16,"[147, 160, 47, 66, 164, 91, 70, 6, 122, 139, 61, 43, 24, 100, 2]"
R17,"[46, 193, 128, 191, 84, 106, 167, 95, 34, 121, 33, 158]"
R18,"[29, 9, 89, 96, 169, 76, 79, 168, 14, 153, 87]"
R19,"[180, 82, 60, 10, 5, 36]"
R20,"[78, 155, 175, 13, 102, 27, 173, 146, 68, 154]"
R21,"[112, 156, 40, 152, 21, 26, 48, 133, 97, 196, 192, 30, 19, 80, 85]"
R22,"[129, 32, 171, 12, 116, 124, 197, 103, 11]"
R23,"[166, 118, 57, 119, 190, 144, 101, 113, 73, 45, 20, 178, 41, 62, 131, 55]"
R24,[151]
R25,"[44, 54, 159, 114, 120]"
R26,[161]
