Tipo de distancia,Euclidean
Tipo de heurística,FisherJaikumar
Costo total,16996.74
Tiempo de ejecución,0.3404550552368164
Ruta,Clientes
R1,"[100, 52, 8, 143, 98]"
R2,"[55, 113]"
R3,[72]
R4,[160]
R5,"[179, 59, 81, 3, 83, 71, 124, 190]"
R6,[20]
R7,"[23, 60]"
R8,"[27, 129, 119, 191, 96, 29, 73, 95, 195, 18]"
R9,"[189, 33, 157, 94, 166]"
R10,"[80, 136, 36, 198, 137, 182, 183]"
R11,"[42, 12]"
R12,[47]
R13,"[57, 134, 54, 92]"
R14,"[70, 118, 34, 125, 165]"
R15,"[61, 75, 67]"
R16,[76]
R17,"[168, 104, 14, 88]"
R18,"[126, 185, 97, 7, 156]"
R19,"[53, 17, 103, 184]"
R20,"[161, 109]"
R21,"[110, 141, 186, 62]"
R22,"[78, 49, 155, 133, 167, 111]"
R23,[115]
R24,[131]
R25,"[132, 148]"
R26,[152]
R27,"[194, 181, 193, 22, 74, 144, 91, 51, 162]"
R28,"[164, 120, 107, 56, 117, 82, 32, 187]"
R29,"[171, 24]"
R30,"[154, 174, 112, 77, 106, 16, 66, 38, 200]"
R31,"[48, 6, 180, 116]"
R32,"[58, 197, 13]"
R33,"[89, 1]"
R34,"[176, 87, 2]"
R35,"[5, 138]"
R36,"[45, 105, 9, 127, 4, 192]"
R37,"[10, 121, 128]"
R38,"[11, 90, 159, 46, 69, 146, 65, 163]"
R39,"[15, 139, 150, 158]"
R40,[19]
R41,"[37, 21, 149]"
R42,"[44, 26, 172, 153, 99, 63, 177, 108, 178]"
R43,"[86, 28]"
R44,"[79, 84, 30]"
R45,"[31, 85, 64, 68, 50, 170, 123, 102, 114, 135, 140, 173, 93, 147]"
R46,"[35, 142, 175]"
R47,"[25, 151, 39]"
R48,[40]
R49,"[41, 122, 169]"
R50,"[101, 130, 43, 145]"
