Tipo de distancia,Euclidean
Tipo de heurística,FisherJaikumar
Costo total,94784.64
Tiempo de ejecución,2.7530975341796875
Ruta,Clientes
R1,"[450, 26, 580]"
R2,"[45, 425, 83, 84, 218, 128, 394]"
R3,"[58, 600, 220]"
R4,[64]
R5,"[136, 16, 176]"
R6,"[152, 573]"
R7,"[354, 550, 105, 205, 285, 266, 321]"
R8,"[238, 417, 207, 574]"
R9,"[539, 121, 254, 381]"
R10,"[362, 492, 407]"
R11,"[408, 68]"
R12,[411]
R13,"[294, 531, 395, 433, 267]"
R14,"[156, 326, 437, 461, 305, 455]"
R15,"[439, 586]"
R16,"[47, 560, 544, 200, 502, 206, 322, 158, 457, 458, 470, 378]"
R17,"[496, 274, 493, 248, 209, 104, 239, 138, 81, 487, 519]"
R18,"[471, 10]"
R19,[14]
R20,[18]
R21,[20]
R22,"[92, 526, 164, 34, 372]"
R23,"[315, 528, 55]"
R24,"[355, 56]"
R25,"[130, 60]"
R26,"[74, 157, 597]"
R27,"[418, 489, 85, 29, 592, 67]"
R28,"[99, 213, 290, 91, 501]"
R29,"[422, 101, 79]"
R30,"[102, 534, 263, 569]"
R31,"[112, 332]"
R32,"[404, 191, 118]"
R33,"[125, 393]"
R34,"[82, 306, 131]"
R35,"[273, 133]"
R36,"[265, 140, 150, 554, 123]"
R37,"[343, 141, 576]"
R38,"[400, 584, 144, 160, 368, 94]"
R39,"[72, 477, 146]"
R40,[147]
R41,"[579, 524, 154]"
R42,"[109, 159, 316]"
R43,"[165, 9]"
R44,"[73, 169]"
R45,"[234, 172, 510]"
R46,"[517, 97, 103, 444, 226, 235, 240, 184, 594]"
R47,[186]
R48,"[201, 188]"
R49,"[189, 289, 551, 212, 129, 279, 261]"
R50,"[192, 591, 259]"
R51,"[486, 211]"
R52,"[475, 329, 120, 221, 178, 193, 174, 228, 515]"
R53,[227]
R54,"[344, 339, 243, 196, 250, 119, 463]"
R55,"[599, 98, 251, 319, 288, 366, 249, 578]"
R56,"[252, 270, 374, 376, 171, 549]"
R57,"[190, 379, 260]"
R58,"[342, 197, 540, 262, 356, 324, 553]"
R59,"[480, 71, 271, 465]"
R60,"[126, 281]"
R61,[283]
R62,"[295, 396, 348, 460]"
R63,"[365, 572, 304, 370]"
R64,"[180, 75, 337, 307, 392]"
R65,"[423, 318]"
R66,"[507, 217, 311, 391, 320, 349, 380, 563, 108]"
R67,"[247, 310, 216, 96, 278, 78, 327]"
R68,"[117, 451, 328, 567]"
R69,[333]
R70,"[241, 336, 95, 397]"
R71,"[284, 299, 57, 345]"
R72,[364]
R73,"[495, 367]"
R74,"[369, 86]"
R75,"[490, 371, 583]"
R76,"[377, 90]"
R77,"[21, 384, 5, 93, 385]"
R78,"[508, 229, 405, 387, 298, 335, 446, 236]"
R79,"[185, 388, 593]"
R80,"[398, 302, 223]"
R81,"[403, 179]"
R82,"[412, 566, 269]"
R83,[424]
R84,"[244, 194, 558, 503, 428, 300, 142, 421, 363, 275, 429]"
R85,"[258, 296, 434, 504, 436, 100]"
R86,"[87, 435, 292, 214]"
R87,"[303, 163, 440, 533, 231, 245, 124]"
R88,"[127, 175, 358, 445, 373, 532]"
R89,"[447, 38]"
R90,"[449, 494, 113]"
R91,"[438, 453]"
R92,[459]
R93,"[360, 122, 183, 253, 514, 469, 334, 199, 454, 557, 401]"
R94,"[232, 420, 375, 415, 499]"
R95,"[137, 419, 570, 441, 500, 3]"
R96,"[448, 352, 325, 468, 143, 497, 512]"
R97,"[442, 410, 170, 513]"
R98,"[116, 589, 520]"
R99,"[523, 506, 521, 202, 272, 346, 282, 479]"
R100,[522]
R101,"[31, 527, 286, 427, 224]"
R102,[530]
R103,"[115, 151, 161, 511, 537, 542]"
R104,"[134, 488, 287, 484, 135, 538]"
R105,"[543, 535]"
R106,"[545, 233]"
R107,"[498, 547]"
R108,"[88, 155, 585, 483, 182, 472, 106, 430, 323, 562, 548]"
R109,"[242, 338, 552, 443]"
R110,"[561, 32]"
R111,"[409, 568, 386]"
R112,"[215, 577, 432]"
R113,"[76, 575, 237, 347, 467, 581, 70]"
R114,"[314, 518, 351, 582]"
R115,"[331, 312, 222, 505, 596, 330]"
R116,"[476, 107, 181, 277, 598, 402, 6, 482, 426]"
R117,"[111, 204, 1, 41]"
R118,"[2, 132, 167]"
R119,"[4, 52, 529]"
R120,"[7, 406]"
R121,[12]
R122,"[225, 456, 297, 13]"
R123,"[149, 198, 114, 15, 452]"
R124,[17]
R125,"[541, 19]"
R126,"[491, 353, 89, 389, 177, 383, 22, 516, 359]"
R127,[23]
R128,"[77, 485, 313, 481, 309, 24, 466, 173, 230, 291, 280, 139]"
R129,[27]
R130,"[203, 588, 28]"
R131,"[148, 382, 30]"
R132,"[35, 473, 162, 145, 187]"
R133,"[317, 361, 556, 36]"
R134,[40]
R135,"[42, 413]"
R136,"[478, 43]"
R137,"[44, 462, 341, 414, 39]"
R138,"[25, 168, 399, 350, 587, 219, 48, 268, 340]"
R139,"[357, 474, 153, 49]"
R140,[50]
R141,"[11, 80, 276, 51, 464, 431]"
R142,"[308, 208, 301, 210, 546, 555, 590, 53]"
R143,"[166, 559, 33, 565, 37, 110, 255, 54, 509, 257]"
R144,"[59, 246, 46, 416]"
R145,"[571, 390, 293, 61]"
R146,"[8, 264, 62, 536]"
R147,[63]
R148,[65]
R149,"[66, 195, 256]"
R150,[69]
